"SCPTDATA_ID","SERIES_NUM","LUSE","HABT_CODE","SPECIES","BROAD_HABITAT","DESCRIPTION","LC_2007","COUNTRY_CODE","DESCRIPTION1","Common","PC COVER"
100011073,563,"AN","101","920607",5,"Dactylis glomerata","5w","WAL","25-50%","Cock's-foot",50
10228469,701,"AN","133","920607",6,"Dactylis glomerata","7s","SCO","25-50%","Cock's-foot",50
100011196,945,"AN","141","920607",4,"Dactylis glomerata","27s","SCO","25-50%","Cock's-foot",50
10222766,1188,"AN","101","920607",5,"Dactylis glomerata","31s","SCO","10-25%","Cock's-foot",25
100020502,179,"AN","10001","920607",6,"Dactylis glomerata","1e","ENG","10-25%","Cock's-foot",25
100018820,383,"AN","101","920607",5,"Dactylis glomerata","17e","ENG","10-25%","Cock's-foot",25
10224118,30,"AN","106","920607",41,"Dactylis glomerata","7e","ENG","25-50%","Cock's-foot",50
10224587,101,"AN","101","920607",9,"Dactylis glomerata","6e","ENG","25-50%","Cock's-foot",50
100017353,395,"AN","133","920607",6,"Dactylis glomerata","3e","ENG","10-25%","Cock's-foot",25
100022048,1251,"AN","101","920607",5,"Dactylis glomerata","5w","WAL","10-25%","Cock's-foot",25
10218740,928,"AN","142","920607",6,"Dactylis glomerata","26s","SCO","10-25%","Cock's-foot",25
10211633,703,"AN","133","920607",6,"Dactylis glomerata","8e","ENG","10-25%","Cock's-foot",25
10224578,101,"AN","101","920607",9,"Dactylis glomerata","6e","ENG","25-50%","Cock's-foot",50
10215564,819,"AN","133","920607",6,"Dactylis glomerata","26s","SCO","10-25%","Cock's-foot",25
100018795,381,"AN","102","920607",23,"Dactylis glomerata","17e","ENG","10-25%","Cock's-foot",25
100020474,152,"AN","101","920607",5,"Dactylis glomerata","5e","ENG","10-25%","Cock's-foot",25
10216465,844,"AN","133","920607",6,"Dactylis glomerata","19s","SCO","10-25%","Cock's-foot",25
100017245,308,"AN","101","920607",5,"Dactylis glomerata","3e","ENG","10-25%","Cock's-foot",25
10216654,849,"AN","133","920607",6,"Dactylis glomerata","25e","ENG","10-25%","Cock's-foot",25
10213609,751,"AN","133","920607",6,"Dactylis glomerata","28s","SCO","10-25%","Cock's-foot",25
100015864,893,"AN","10001","920607",6,"Dactylis glomerata","26s","SCO","50-75%","Cock's-foot",75
100018000,575,"AN","10001","920607",6,"Dactylis glomerata","11e","ENG","10-25%","Cock's-foot",25
10216420,840,"AN","133","920607",6,"Dactylis glomerata","25s","SCO","25-50%","Cock's-foot",50
10215104,793,"AN","133","920607",6,"Dactylis glomerata","16e","ENG","25-50%","Cock's-foot",50
100010720,825,"AN","133","920607",6,"Dactylis glomerata","27s","SCO","25-50%","Cock's-foot",50
100012711,1186,"AN","133","920607",6,"Dactylis glomerata","32s","SCO","10-25%","Cock's-foot",25
100014224,861,"AN","133","920607",6,"Dactylis glomerata","27s","SCO","25-50%","Cock's-foot",50
10212049,718,"AN","133","920607",6,"Dactylis glomerata","7s","SCO","25-50%","Cock's-foot",50
100015540,763,"AN","133","920607",6,"Dactylis glomerata","7s","SCO","25-50%","Cock's-foot",50
10212503,727,"AN","133","920607",6,"Dactylis glomerata","16e","ENG","25-50%","Cock's-foot",50
100010364,193,"AN","133","920607",6,"Dactylis glomerata","8e","ENG","10-25%","Cock's-foot",25
100010358,1216,"AN","133","920607",6,"Dactylis glomerata","10e","ENG","50-75%","Cock's-foot",75
10214100,763,"AN","10001","920607",6,"Dactylis glomerata","7s","SCO","10-25%","Cock's-foot",25
100010299,1093,"AN","10001","920607",6,"Dactylis glomerata","21s","SCO","10-25%","Cock's-foot",25
100022835,224,"AN","133","920607",6,"Dactylis glomerata","6w","WAL","25-50%","Cock's-foot",50
10220358,1039,"AN","133","920607",6,"Dactylis glomerata","25s","SCO","10-25%","Cock's-foot",25
100013290,19,"AN","101","920607",5,"Dactylis glomerata","6e","ENG","25-50%","Cock's-foot",50
100022865,284,"AN","101","920607",5,"Dactylis glomerata","7w","WAL","10-25%","Cock's-foot",25
100016963,1247,"AN","101","920607",5,"Dactylis glomerata","5w","WAL","10-25%","Cock's-foot",25
100010731,826,"AN","101","920607",5,"Dactylis glomerata","27s","SCO","25-50%","Cock's-foot",50
10217734,893,"AN","133","920607",6,"Dactylis glomerata","26s","SCO","50-75%","Cock's-foot",75
100017047,1247,"AN","101","920607",5,"Dactylis glomerata","5w","WAL","25-50%","Cock's-foot",50
10217107,868,"AN","133","920607",6,"Dactylis glomerata","18s","SCO","25-50%","Cock's-foot",50
100024196,174,"AN","10001","920607",6,"Dactylis glomerata","6w","WAL","25-50%","Cock's-foot",50
10212449,727,"AN","133","920607",6,"Dactylis glomerata","16e","ENG","25-50%","Cock's-foot",50
10214108,763,"AN","133","920607",6,"Dactylis glomerata","7s","SCO","25-50%","Cock's-foot",50
10218765,928,"AN","142","920607",6,"Dactylis glomerata","26s","SCO","10-25%","Cock's-foot",25
100022813,224,"AN","133","920607",6,"Dactylis glomerata","6w","WAL","25-50%","Cock's-foot",50
10212415,724,"AN","133","920607",6,"Dactylis glomerata","22e","ENG","10-25%","Cock's-foot",25
100023641,542,"AN","133","920607",1,"Dactylis glomerata","15w","WAL","10-25%","Cock's-foot",25
10220858,1188,"AN","133","920607",6,"Dactylis glomerata","31s","SCO","25-50%","Cock's-foot",50
100023444,434,"AN","101","920607",5,"Dactylis glomerata","5w","WAL","10-25%","Cock's-foot",25
10214354,775,"AN","10001","920607",6,"Dactylis glomerata","25e","ENG","10-25%","Cock's-foot",25
10219318,945,"AN","133","920607",6,"Dactylis glomerata","27s","SCO","25-50%","Cock's-foot",50
100013499,127,"AN","10001","920607",6,"Dactylis glomerata","6e","ENG","25-50%","Cock's-foot",50
10217528,883,"AN","133","920607",6,"Dactylis glomerata","26s","SCO","50-75%","Cock's-foot",75
10217401,877,"AN","133","920607",6,"Dactylis glomerata","26s","SCO","25-50%","Cock's-foot",50
100014186,861,"AN","133","920607",6,"Dactylis glomerata","27s","SCO","25-50%","Cock's-foot",50
100013593,86,"AN","101","920607",5,"Dactylis glomerata","2e","ENG","<10%","Cock's-foot",10
10214142,763,"AN","133","920607",6,"Dactylis glomerata","7s","SCO","25-50%","Cock's-foot",50
100010302,1093,"AN","133","920607",6,"Dactylis glomerata","21s","SCO","25-50%","Cock's-foot",50
100014212,861,"AN","133","920607",6,"Dactylis glomerata","27s","SCO","25-50%","Cock's-foot",50
10212469,727,"AN","10001","920607",6,"Dactylis glomerata","16e","ENG","25-50%","Cock's-foot",50
10214365,775,"AN","10001","920607",6,"Dactylis glomerata","25e","ENG","10-25%","Cock's-foot",25
100013937,135,"AN","133","920607",6,"Dactylis glomerata","2e","ENG","25-50%","Cock's-foot",50
100022964,116,"AN","133","920607",6,"Dactylis glomerata","3e","ENG","75-95%","Cock's-foot",95
10248640,1184,"AN","10001","920607",6,"Dactylis glomerata","31s","SCO","10-25%","Cock's-foot",25
